"gender","masterCategory","subCategory","articleType","baseColour","season","year","usage"
"Women","Apparel","Topwear","Kurtas","Olive","Fall","2011.0","Casual"
"Women","Accessories","Jewellery","Earrings","Gold","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Purple","Summer","2012.0","Casual"
"Girls","Apparel","Topwear","Tops","Peach","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Jackets","Blue","Summer","2011.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Maroon","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Purple","Winter","2016.0","Formal"
"Men","Footwear","Sandal","Sandals","Black","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2009.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Grey","Winter","2016.0","Formal"
"Women","Apparel","Bottomwear","Shorts","Purple","Summer","2011.0","Casual"
"Men","Accessories","Socks","Socks","Black","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Shirts","Multi","Summer","2012.0","Formal"
"Unisex","Accessories","Bags","Backpacks","Green","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Sweaters","Green","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Red","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Brown","Fall","2011.0","Casual"
"Women","Accessories","Bags","Clutches","Grey","Winter","2015.0","Casual"
"Women","Apparel","Topwear","Kurtas","Off White","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Purple","Fall","2011.0","Formal"
"Women","Footwear","Shoes","Sports Shoes","Pink","Summer","2012.0","Casual"
"Men","Accessories","Wallets","Wallets","Brown","Winter","2015.0","Formal"
"Girls","Apparel","Bottomwear","Salwar","Purple","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2010.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Brown","Winter","2018.0","Formal"
"Men","Footwear","Flip Flops","Flip Flops","Black","Fall","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Women","Personal Care","Lips","Lipstick","Purple","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Shirts","Brown","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Maroon","Summer","2011.0","Casual"
"Women","Accessories","Scarves","Scarves","Blue","Summer","2012.0","Casual"
"Women","Apparel","Saree","Sarees","Blue","Fall","2012.0","Casual"
"Boys","Apparel","Bottomwear","Leggings","Blue","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Girls","Apparel","Topwear","Tshirts","Yellow","Summer","2011.0","Casual"
"Women","Footwear","Flip Flops","Flip Flops","Grey","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Earrings","Silver","Fall","2012.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Black","Winter","2014.0","Formal"
"Women","Accessories","Watches","Watches","Steel","Winter","2016.0","Fashionable"
"Women","Accessories","Bags","Clutches","Silver","Summer","2012.0","Casual"
"Unisex","Sporting Goods","Sports Equipment","Footballs","White","Fall","2010.0","Casual"
"Women","Apparel","Topwear","Tshirts","Navy Blue","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtis","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Yellow","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Jackets","Blue","Fall","2011.0","Casual"
"Women","Apparel","Innerwear","Bra","White","Summer","2018.0","Casual"
"Women","Footwear","Shoes","Heels","White","Winter","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Men","Accessories","Belts","Belts","Black","Summer","2012.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Green","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Bronze","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Accessories","Eyewear","Sunglasses","Black","Winter","2016.0","Formal"
"Women","Footwear","Shoes","Flats","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Brown","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Gold","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2011.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Navy Blue","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Silver","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Charcoal","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Innerwear Vests","White","Summer","2016.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Cream","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Tshirts","Orange","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Brown","Summer","2013.0","Casual"
"Men","Apparel","Topwear","Jackets","Black","Fall","2011.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","Red","Spring","2017.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Black","Summer","2011.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Blue","Winter","2016.0","Formal"
"Men","Accessories","Eyewear","Sunglasses","Gold","Winter","2016.0","Fashionable"
"Men","Personal Care","Fragrance","Perfume and Body Mist","Silver","Spring","2017.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Black","Fall","2012.0","Casual"
"Unisex","Footwear","Flip Flops","Flip Flops","Navy Blue","Winter","2011.0","Formal"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2013.0","Casual"
"Men","Accessories","Socks","Socks","Grey","Summer","2016.0","Casual"
"Women","Accessories","Stoles","Stoles","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Blue","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Shirts","Navy Blue","Fall","2011.0","Formal"
"Men","Personal Care","Fragrance","Perfume and Body Mist","Blue","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Brown","Fall","2011.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Black","Summer","2017.0","Fashionable"
"Women","Apparel","Topwear","Kurtas","Red","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2012.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Black","Summer","2011.0","Casual"
"Women","Accessories","Eyewear","Sunglasses","Brown","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Shirts","Brown","Fall","2011.0","Formal"
"Men","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Pink","Fall","2011.0","Formal"
"Men","Apparel","Topwear","Shirts","Blue","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","White","Fall","2011.0","Casual"
"Unisex","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Blue","Summer","2013.0","Casual"
"Men","Apparel","Innerwear","Briefs","Red","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Tshirts","Teal","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Blue","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","White","Fall","2011.0","Formal"
"Men","Apparel","Topwear","Tshirts","Yellow","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Women","Personal Care","Makeup","Eyeshadow","Blue","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Kurtas","White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Green","Summer","2012.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Blue","Spring","2013.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Shorts","Blue","Summer","2012.0","Casual"
"Unisex","Footwear","Flip Flops","Flip Flops","Navy Blue","Winter","2012.0","Formal"
"Women","Apparel","Topwear","Tshirts","Grey","Summer","2012.0","Casual"
"Men","Accessories","Bags","Backpacks","Black","Summer","2011.0","Casual"
"Unisex","Accessories","Wallets","Wallets","Black","Winter","2016.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Brown","Fall","2011.0","Casual"
"Girls","Apparel","Bottomwear","Shorts","Pink","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2011.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Steel","Winter","2016.0","Fashionable"
"Unisex","Accessories","Bags","Backpacks","Red","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Yellow","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Gold","Winter","2015.0","Formal"
"Women","Apparel","Topwear","Jackets","Charcoal","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Summer","2012.0","Casual"
"Women","Footwear","Flip Flops","Flip Flops","Green","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Women","Footwear","Shoes","Heels","Multi","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Tops","Black","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Red","Winter","2012.0","Casual"
"Women","Accessories","Wallets","Wallets","Black","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Shirts","Pink","Summer","2012.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Red","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Sweaters","Grey","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Patiala","Red","Fall","2012.0","Casual"
"Women","Apparel","Topwear","Dupatta","Orange","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Steel","Winter","2016.0","Formal"
"Women","Apparel","Bottomwear","Trousers","Black","Summer","2012.0","Casual"
"Men","Personal Care","Fragrance","Perfume and Body Mist","Maroon","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Tops","Yellow","Summer","2011.0","Casual"
"Women","Personal Care","Makeup","Highlighter and Blush","Brown","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Beige","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Dupatta","Lavender","Summer","2012.0","Casual"
"Women","Apparel","Loungewear and Nightwear","Night suits","Brown","Summer","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Red","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","White","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Green","Fall","2011.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Navy Blue","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Navy Blue","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Track Pants","Grey","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Earrings","White","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Necklace and Chains","Blue","Fall","2012.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Maroon","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Purple","Fall","2011.0","Casual"
"Men","Apparel","Innerwear","Briefs","White","Summer","2016.0","Casual"
"Women","Apparel","Saree","Sarees","Green","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","White","Summer","2012.0","Formal"
"Women","Personal Care","Nails","Nail Polish","Silver","Spring","2017.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Women","Accessories","Bags","Clutches","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Men","Apparel","Innerwear","Briefs","White","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Kurtas","Green","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Pink","Fall","2012.0","Formal"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Men","Apparel","Bottomwear","Track Pants","Black","Fall","2010.0","Casual"
"Men","Accessories","Ties","Ties","Maroon","Summer","2012.0","Casual"
"Unisex","Sporting Goods","Sports Equipment","Basketballs","Red","Fall","2011.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Olive","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Kurtas","Pink","Fall","2011.0","Casual"
"Men","Accessories","Watches","Watches","Steel","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Kurtis","Cream","Summer","2012.0","Casual"
"Women","Apparel","Saree","Sarees","Yellow","Summer","2012.0","Casual"
"Girls","Apparel","Bottomwear","Leggings","Black","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Grey","Summer","2012.0","Casual"
"Women","Apparel","Saree","Sarees","Green","Fall","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Shirts","Black","Summer","2012.0","Formal"
"Men","Apparel","Bottomwear","Shorts","Black","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Girls","Apparel","Bottomwear","Shorts","Pink","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Briefs","Pink","Summer","2014.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Green","Summer","2012.0","Casual"
"Women","Accessories","Eyewear","Sunglasses","Pink","Winter","2016.0","Formal"
"Women","Accessories","Jewellery","Necklace and Chains","Turquoise Blue","Fall","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Brown","Summer","2012.0","Casual"
"Men","Accessories","Ties","Ties","Blue","Summer","2012.0","Casual"
"Women","Accessories","Wallets","Wallets","White","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Sweaters","Grey","Fall","2011.0","Casual"
"Women","Apparel","Saree","Sarees","Pink","Summer","2012.0","Casual"
"Men","Accessories","Socks","Socks","White","Fall","2012.0","Casual"
"Women","Footwear","Shoes","Casual Shoes","Green","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Grey","Winter","2015.0","Casual"
"Men","Apparel","Bottomwear","Track Pants","Black","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Nehru Jackets","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Pink","Fall","2011.0","Formal"
"Women","Apparel","Saree","Sarees","Navy Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Kurtas","Red","Fall","2011.0","Casual"
"Men","Accessories","Watches","Watches","Grey","Winter","2016.0","Formal"
"Unisex","Accessories","Bags","Backpacks","Black","Summer","2015.0","Casual"
"Men","Accessories","Jewellery","Pendant","Steel","Summer","2013.0","Casual"
"Women","Footwear","Shoes","Heels","White","Winter","2012.0","Formal"
"Women","Apparel","Bottomwear","Stockings","Black","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Beige","Summer","2012.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Navy Blue","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tops","Pink","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2011.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Black","Fall","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Grey","Summer","2016.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Grey","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Black","Summer","2015.0","Casual"
"Women","Apparel","Topwear","Tops","Green","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Men","Accessories","Wallets","Wallets","Black","Winter","2016.0","Casual"
"Women","Apparel","Topwear","Tops","Pink","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Winter","2012.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Sweaters","Navy Blue","Fall","2011.0","Casual"
"Men","Accessories","Wallets","Wallets","Brown","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Innerwear Vests","Black","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Yellow","Winter","2010.0","Casual"
"Women","Apparel","Topwear","Kurtas","White","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Track Pants","Black","Fall","2013.0","Casual"
"Men","Accessories","Socks","Socks","Brown","Summer","2016.0","Casual"
"Women","Accessories","Stoles","Stoles","Blue","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Turquoise Blue","Summer","2012.0","Casual"
"Unisex","Personal Care","Fragrance","Fragrance Gift Set","Black","Spring","2017.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Gold","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Tshirts","Green","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Summer","2011.0","Casual"
"Men","Accessories","Socks","Socks","White","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Turquoise Blue","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","White","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Tops","Peach","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Grey","Fall","2012.0","Casual"
"Women","Apparel","Topwear","Tshirts","Yellow","Summer","2012.0","Casual"
"Men","Accessories","Socks","Socks","Brown","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Tshirts","Charcoal","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Beige","Fall","2011.0","Formal"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Women","Accessories","Jewellery","Necklace and Chains","Rust","Winter","2016.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Pink","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Winter","2011.0","Casual"
"Men","Apparel","Innerwear","Briefs","Grey","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Sweaters","Grey","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Red","Summer","2011.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Blue","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Pink","Summer","2011.0","Casual"
"Men","Personal Care","Fragrance","Perfume and Body Mist","Maroon","Spring","2017.0","Casual"
"Women","Accessories","Bags","Handbags","Black","Winter","2015.0","Formal"
"Men","Apparel","Innerwear","Innerwear Vests","Black","Summer","2016.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Blue","Fall","2011.0","Formal"
"Men","Accessories","Watches","Watches","Grey","Summer","2017.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Spring","2011.0","Formal"
"Men","Apparel","Topwear","Shirts","Grey","Summer","2012.0","Formal"
"Women","Personal Care","Nails","Nail Polish","Gold","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Fall","2011.0","Casual"
"Women","Accessories","Bags","Handbags","Red","Summer","2012.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Red","Fall","2012.0","Casual"
"Men","Accessories","Socks","Socks","White","Summer","2016.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Men","Apparel","Bottomwear","Tracksuits","Grey","Fall","2011.0","Casual"
"Women","Accessories","Bags","Handbags","Red","Winter","2015.0","Formal"
"Men","Apparel","Topwear","Shirts","White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tshirts","Pink","Fall","2010.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Red","Spring","2017.0","Casual"
"Women","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Tunics","Blue","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Women","Accessories","Bags","Handbags","Purple","Winter","2015.0","Casual"
"Women","Apparel","Topwear","Tunics","Purple","Fall","2011.0","Casual"
"Women","Free Items","Free Gifts","Free Gifts","Purple","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Fall","2010.0","Casual"
"Men","Accessories","Watches","Watches","Blue","Winter","2016.0","Fashionable"
"Women","Apparel","Loungewear and Nightwear","Nightdress","Green","Winter","2015.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Summer","2013.0","Casual"
"Women","Apparel","Topwear","Tops","Black","Summer","2011.0","Casual"
"Women","Footwear","Flip Flops","Flip Flops","White","Winter","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Pink","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Gold","Winter","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Blue","Fall","2011.0","Casual"
"Women","Accessories","Jewellery","Necklace and Chains","Pink","Winter","2015.0","Casual"
"Women","Apparel","Innerwear","Bra","Black","Summer","2017.0","Casual"
"Women","Apparel","Bottomwear","Leggings","Pink","Fall","2011.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Pendant","Silver","Fall","2012.0","Casual"
"Men","Accessories","Socks","Socks","Grey","Summer","2016.0","Casual"
"Women","Apparel","Innerwear","Bra","Black","Winter","2015.0","Casual"
"Women","Apparel","Bottomwear","Trousers","Beige","Summer","2012.0","Formal"
"Women","Personal Care","Skin Care","Face Wash and Cleanser","White","Spring","2017.0","Casual"
"Men","Personal Care","Fragrance","Perfume and Body Mist","Green","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Brown","Fall","2011.0","Formal"
"Women","Free Items","Free Gifts","Free Gifts","Black","Summer","2015.0","Casual"
"Women","Apparel","Apparel Set","Kurta Sets","Red","Summer","2011.0","Casual"
"Women","Apparel","Bottomwear","Leggings","Peach","Fall","2012.0","Casual"
"Girls","Apparel","Topwear","Tshirts","Pink","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Tops","Brown","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tshirts","Cream","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2015.0","Casual"
"Men","Apparel","Loungewear and Nightwear","Night suits","Navy Blue","Summer","2016.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Summer","2016.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Men","Accessories","Bags","Backpacks","Black","Winter","2016.0","Casual"
"Women","Apparel","Dress","Dresses","Cream","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Black","Fall","2011.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Red","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Women","Personal Care","Makeup","Compact","Skin","Spring","2017.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Blue","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Black","Summer","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Brown","Summer","2013.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2013.0","Casual"
"Unisex","Accessories","Bags","Duffel Bag","Beige","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeggings","Black","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2013.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Grey","Summer","2011.0","Formal"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Unisex","Accessories","Bags","Backpacks","Black","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2011.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Tops","Pink","Summer","2011.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","White","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","White","Winter","2016.0","Formal"
"Men","Accessories","Eyewear","Sunglasses","Metallic","Winter","2016.0","Fashionable"
"Women","Apparel","Topwear","Tops","Blue","Summer","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Fall","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Fall","2010.0","Casual"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2012.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Pink","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Summer","2013.0","Casual"
"Women","Apparel","Topwear","Tunics","Pink","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Green","Fall","2010.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Charcoal","Summer","2013.0","Casual"
"Men","Accessories","Socks","Socks","Beige","Summer","2016.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2011.0","Casual"
"Women","Personal Care","Fragrance","Deodorant","Black","Spring","2017.0","Casual"
"Men","Accessories","Belts","Belts","Brown","Fall","2011.0","Fashionable"
